Timestamp,"This survey is intended specifically to understand the middleware experience for ROS 2 Foxy; but we're open to hearing about experiences with other ROS versions. For your answers to this survey, what version of ROS 2 are you using? ",Which of the following best describes your robotic application?,Which of the following transport layers does your application use?,Which of the following best describes your robot's application domain?,On a scale from 1 to 10 please rate your computer networking and debugging skills. ,We want to understand your ROS experience. How many years have you been using ROS? ,Please rate your familiarity with ROS Middleware.,Please rate your Linux debugging and development skills. ,Have you changed your default ROS 2 Foxy RMW ?,For ROS 2 Foxy what ROS middleware layer are you primarily using? ,Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW worked out of the box for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I understand how RMWs work.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am capable of changing my RMW easily.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would/have considered changing my RMW implementation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Open Robotics provides sufficient information for me to make a sound RMW selection.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient support.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient  documentation.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient debugging tools.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient features for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My current RMW implementation provides sufficient performance for my application.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I am considering or have considered changing my current RMW implementation due to technical challenges.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [DDS/RMWs have improved the overall ROS experience.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would advocate for my current RMW to be the default ROS 2.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I would recommend my current RMW to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [My RMW interoperates well with other systems. ],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [Based on the out-of-the-box experience I would recommend ROS2 Foxy to a friend.],Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [ROS should continue to use DDS as the default RMW implementation.],"Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation robust, reliable, and ready for production.]",Please answer the following questions about your *primary* RMW Implementation as specified in the previous question.   [I consider my current RMW implementation secure.],"Please briefly describe your robotics application and and its associated network topology. This description helps us understand sub-domains where particular RMWs may have issues. In particular, specify if you had privileged/root access to the network infrastructure or not. ","Please describe your ROS RMW journey for ROS 2. If you used the default and it worked great, let us know. If you had to change RMWs please let us know why this happened and what that process was like. If you had a good or bad experience with your RMW we would to hear about it. ","How can the RMW ecosystem be improved? Are there features you require? Are there tools, documentation, or materials that would improve the ROS 2 experience?",Would you like to advocate for or against a particular default RMW to the TSC? If so please identify the RMW and why you believe it is the best choice.,Is there anything else you would like us to know or to communicate to the TSC? 
2020/09/19 11:18:06 PM MDT,Foxy,Multiple robots controlled from multiple computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls;Embedded communications (serial, I2C, USB, etc)",Corporate R&D,10,1,4,6,Yes,ADLink CycloneDDS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Swarm AMR with FMS are clients in star topology Wi-Fi and I control the network.,I ran 4 Navigation2 AMR in the same ROS domian. Only rmw cyclonedds can work. But the network usage reachs the throughput limit. My AP is 802.11ac wave2 with HT160 and clients are using intel ac9260 (1733Mbps). I think based on DDS. ROS2 need to have a topic filter to send out the topics you really want to transfer over the physical network interface and others use interprocess communication.,"https://discourse.ros.org/t/rmw-proposal-content-filtered-topic-suport/16113

ROS2 need to have a topic filter to send out the topics you really want to transfer over the physical network interface and others use interprocess communication.",Cyclonedds is the best. Only cycloneDDS can remote use rviz2 over Wi-Fi to control the AMR doing navigation with Navigation2.,https://discourse.ros.org/t/rmw-proposal-content-filtered-topic-suport/16113
2020/09/21 2:57:33 AM MDT,Foxy,Multiple robots controlled by a single computer,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.;4G LTE / 5G  / Telecom,Industrial,7,5,3,5,No,eProsima FastDDS (Foxy default),Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Strongly Agree,Disagree,Agree,Neutral,The robots are either connected to the corporate WiFi or making an Access Point per robot,"We have problems using ROS2 due to limitations when using high amount of data. Our prototypes have 8 cameras for SLAM & collision avoidance, which is about 8Gb/s of data.
We would probably fully switch if the API provides ""intra-process only"" with custom types & no serialization nor copy.

We also could not use MicroROS because it was enforcing the embedded team to use a custom RTOS (MicroROS's one) and full ROS2 installation. The would mean we have to recreate our full application from scratch, making it impossible to advocate to the management.",,,
2020/09/21 9:53:17 AM MDT,Foxy,One robot powered with a single computer,Inter process communication / all on a single machine;A hardwired Ethernet connection;CAN,Logistics / Fullfillment,8,10,4,6,Yes,ADLink CycloneDDS,Neutral,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,LiDAR point cloud processing,Fast (not great performance). Cyclone (good performance). Looking toward Cyclone + Iceroyx (want 0-copy transport w/o having to use components),No opinion.,Cyclone. Performance is good. Tuning is easy. Support is great and responsive.,N/A
2020/09/22 2:48:35 AM MDT,Foxy,Multiple robots controlled from multiple computers,A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls,Logistics / Fullfillment,5,3,2,5,No,eProsima FastDDS (Foxy default),Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,"Using mulriple robots on a network. We had to setup our own network with no wifi to get them going, because the other commonly used network was too unreliable. Now having issues with the network crashing when 2 robots are used at the same time.","Im looking forward to learning more on the ins and outs of it, but its not a priority because we are not sure how much time it will take",Make a ros like tutorial that describes step by step what a full config file does - aimed at people who know nothing i.e. for dummies,,
2020/09/22 1:47:49 PM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Agriculture,7,3,2,5,No,eProsima FastDDS (Foxy default),Strongly Disagree,Agree,Agree,Agree,Disagree,NO OPINION / NOT APPLICABLE,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Disagree,NO OPINION / NOT APPLICABLE,Disagree,NO OPINION / NOT APPLICABLE,"Mobile robot with 1 computer controlling it and a stationary computer for monitoring / configuring purposes.
There's a WiFi router that is setup specifically for the mobile robot to connect to. The stationary computer is connected to the router using ethernet.
The mobile robot never goes further than approximately 20 meters from the access point, the wireless connection is never lost due to range and anything from transferring logs, downloading updates or ssh works smoothly on the mobile robot.","Switching from melodic to eloquent, I used FastRTPS from the start. I assumed that the default RMW would be the choice with best robustness, performance and support.
In the setup described above, melodic was working fine. When I started playing around with eloquent, even in the average office setup I found it challenging to get communication between 2 computers to work every time.
After some time  of fiddling with different configurations of DEFAULT_FASTRTPS_PROFILES.xml and the ROS_DOMAIN_ID, I got it to work most of the time. Still occasionally I ran into issues that I found very hard to debug and most were resolved with a reboot or even a simple restart of the node.","If there can't be a single RMW for all situations, at least describe the advantages of the different options.
On another note: the current setup of development of the RMW layer by different groups / companies feels as if the RMW is not considered a core functionality of 'ROS'. Looking for documentation or help on how to configure the RMW then becomes an awkward experience, as I had to tie bits and pieces read from ROS Answers, the FastRTPS documentation and some github issues together, to get a grip on how to make it perform better.","No, because I don't have experience yet with anything else than FastRTPS.",
2020/09/23 3:40:08 AM MDT,Dashing,One robot with multiple onboard computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;4G LTE / 5G  / Telecom;Embedded communications (serial, I2C, USB, etc)",Industrial,8,8,5,5,Yes,ADLink CycloneDDS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,"I'm using ROS 2 on different devices, self driving vehicles and embedded devices. In both scenarios FastRTPS was unstable and not easy to work with, I've since switched to CycloneDDS for the most part, their dev team is much more responsive, knowledgeable. CycloneDDS itself is fast, stable and has much better documentation.",,"More debugging tools that didn't require ROS 2 would be nice, it'd help with integrating ROS 2 with legacy systems",I strongly advocate for CycloneDDS becoming the default RMW in future ROS 2 releases instead of FastRTPS. FastRTPS' performance is unstable and its codebase is hard to work with.,
2020/09/23 9:09:22 AM MDT,Foxy,One robot controlled from with second remote computer as a terminal.,A wireless network (802.11 a/b/g) that you control.,Logistics / Fullfillment,3,8,3,4,No,eProsima FastDDS (Foxy default),Strongly Disagree,Neutral,Agree,Agree,Disagree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,NO OPINION / NOT APPLICABLE,Disagree,NO OPINION / NOT APPLICABLE,Disagree,NO OPINION / NOT APPLICABLE,Strongly Disagree,NO OPINION / NOT APPLICABLE,"Laptop with laser scanner on mobile robot, workstation with wifi-dongle in the same network to visualize and debug. Without a subscriber on the WS, 30Hz from the scanner, after adding a remote subscriber, local framerate (on the laptop!) went to 10Hz, Workstation got bursts of messages every 5seconds. Problem was fixed by using a different Wifi that is connected to the lan. (Laptop->Wifi-Router->Lan->workstation). It looks like a hardware issue in this instance ",,,,
2020/09/23 9:37:59 AM MDT,Foxy,One robot with multiple onboard computers,Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;OPC UA over the ethernet connection,Logistics / Fullfillment,5,4,3,4,Yes,eProsima FastDDS (Foxy default),Agree,Neutral,Strongly Agree,Agree,Disagree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Agree,Neutral,Disagree,Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Agree,Neutral,Agree,Disagree,NO OPINION / NOT APPLICABLE,On our robots we use a PC and a PLC that are connected using Ethernet. The PC is also connected to a fleetmanager using WiFi. The fleetmanager contains a ROS node that sends commands to the individual robots.,"We did not do performance tests yet. The default (Fast RTPS) works for the things we are testing right now. As we know the group that is working both on OpenSplice and Eclipse Cyclone, we received some suggestions that we should take a look at Cyclone :)","I think good tools to debug communication problems would be really nice. Personally, I did not dive into the different QoS settings yet. For me it is new to tweak such things, so I need some time to get used to it. Moreover, I thought that ROS 2 always used DDS as RMW as described on: https://design.ros2.org/articles/ros_middleware_interface.html  But the questions suggest that is also possible to use a completely different implementation of RMW. I was not really aware of that.","I like the community approach of Eclipse Cyclone DDS. Installation of Cyclone was easy. It works for our application. However, FastRTPS also worked.",
2020/09/23 9:42:03 AM MDT,Eloquent,One robot controlled from with second remote computer as a terminal.,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that someone else controls,Autonomy / Vehicle,8,2,3,6,No,eProsima FastDDS (Foxy default),Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,NO OPINION / NOT APPLICABLE,Neutral,Agree,Neutral,"A single-computer robot, but we want to connect to it over wifi. This wifi has been proven to be difficult, mostly regarding discovery. Also the default that all default ros2 commandos use a reliable connection does not help.

 Currently we do have access to the network infrastructure, but this will not always be the case.","We tried opensplice in the beginning, because it was already used at our company and in other parts. Because it contained some bugs we stuck to the default (fastrtps) which is working mostly fine (except for wifi)","Since it's really hidden behind a tick layer of RCL, I don't really care about the middle ware. It should Just Work.",,"Performance of the RMW is not an issue since the RCL/RCLCPP layer has a bigger performance penalty then any RMW. Which should totally not be the case imho! (I know about the static executor in Foxy, but I see that as a bandaid, not a proper fix.)

Better wifi support would be nice, but I didn't check foxy yet."
2020/09/23 10:17:43 AM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.,Agriculture,10,6,5,6,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,multi robot system for autonomous snow removal at airports.  A fleet of robotically controlled snow plows that clean airport runways.   A leader vehicle the monitors several robots in formation,We use it out of the box and we created our own QT application that could run on an iPad using Fast DDS.  That part was a challenge to get working with ROS but it works great now.  ,I would like to see the ability to create domains and other technics that can easily allow multi-robot systems to interact.  Right now having all topics exposed on the network is not good,Fast DDS is fine.  What I am concerned about is that we will switch to a new DDS vendor due to politics and not technical requirements.  I have heard the argument that why would you want your DDS stack to be controlled by a commercial company?  My rebuttal is that if we use Eclipse DDS then who is pushing for this?  A company? Why is that?  The switching of default RMW feels political and coming from a commercial agenda.  ,keep politics and hidden corporate agendas out of this decision.
2020/09/23 3:28:39 PM MDT,Eloquent,Stereo Vision Sensor,Inter process communication / all on a single machine,Hardware Develpoment,9,10,5,5,Yes,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Stereo Vision hw driver ,Using default,I'd like to be able to get info about QoS of running topics ,No,Nothing
2020/09/25 4:24:33 AM MDT,Foxy,One robot powered with a single computer,Inter process communication / all on a single machine,Consumer Robotics,6,5,4,6,Yes,eProsima FastDDS (Foxy default),Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,"My robotic application runs on a raspberry pi where there are a small number of processes.
ROS communication is used for intra-process comm and inter-process comm within the machine for normal operations.
ROS communication is used for debugging purposes between the robot and a remote computer over wifi.","Started with default FastRTPS, due to bad performance (in Bouncy/Crystal) tested all available middlewares and focused on CycloneDDS.
Since beginning of the year the performance of FastRTPS are now similar to CycloneDDS so currently back to FastRTPS as it's a more mature codebase.","ROS 2 ecosystem treats the RMW and underlying middleware as a black box, even though most of the computational resource usage comes from it and its interaction with the ROS client library.

It's not possible to build a ROS 2 application that is something more than a prototype without having to look into the RMW/DDS and often tweaking it, so ROS should acknowledge that.
ROS should not rely on the tools and documentations of DDS providers, at least for the tier 1 implementations.
ROS client library should expose APIs to interact with the DDS.",No,"The RMW/DDS is a crucial piece of software in a ROS 2 application.
The TSC should monitor its quality level (at least for default DDS, if possible also for other tier 1) to make sure that is usable in production applications.
This includes code quality, test coverage, features integration process."
2020/09/28 7:21:21 AM MDT,Foxy,One robot powered with a single computer,"Inter process communication / all on a single machine;A hardwired Ethernet connection;Embedded communications (serial, I2C, USB, etc)",Industrial,7,7,3,5,Yes,ADLink CycloneDDS,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,,,,Cyclone,
2020/09/30 4:56:35 AM MDT,Eloquent,One robot with multiple onboard computers,A hardwired Ethernet connection,Autonomy / Vehicle,7,6,5,4,No,eProsima FastDDS (Foxy default),Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Neutral,Strongly Disagree,Strongly Disagree,NO OPINION / NOT APPLICABLE,Strongly Disagree,NO OPINION / NOT APPLICABLE,"The application features a central server-class PC with several high-bandwidth sensors connected to it (450 MB/s on 10GigE, 2x 250 MB/s, additional ethernet with smaller load) and a distributed network of additional sensors on their own computers, providing data to the central server. There is also a data logger as a standalone system within the network.

The central server and the sensors connected to it are using ROS1, ROS2 is only used for the data exchange with the distributed computers / data loggers.","On the central server itself, DDS/ROS2 worked out of the box so far.

HOWEVER:
When using the ros1 bridge and bridging image topics to the local ROS2 system, the DDS bandwidth limitations had a feedback to ROS1, also limiting bandwidth there. The 450MByte stream dropped to 60 MByte, all sensors signals were scaled down in the same manner. Why is there a feedback in the communication behaviour between ROS1 and 2 via the bridge? This is dangerous!

Adding the additional computers to the network made the problem worse. There also seem to be particular effects of the settings of the used router.
The corresponding ROS1 publishers could be crashed when DDS could not handle the load over the network even on paired communication.

Network discovery was a pain in the ass as the central server has 8 network ports and DDS hat a hard time finding the right one to the other system. Specifying the target IP with the eProsima examples did not work.

The whole DDS system crashed when too many participants joined the network (5 systems in total).

Ros1 bridge seems to be very volatile as well. ","ROS1 more or less worked out of the box without requiring an in depth understanding of the RMW. ROS_DOMAIN_ID and discovery is much harder to debug and understand compared to the network setup of ROS1.
Should there be documentation for it, we didnt find it easily. Requiring to find it would also make the user experience worse compared to ROS1. We love ROS(1) overall ;)",I am lacking the technical knowledge of the RMW details for a decision like that. All I can say is that the default didnt work well at all for our use case.,Make the ROS2 network communication as easy to use as ROS1 ;) Keep up the good work!
2020/10/04 7:22:54 AM MDT,Eloquent,One robot with multiple onboard computers,"A hardwired Ethernet connection;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,4,2.5,4,4,No,eProsima FastDDS (Foxy default),Agree,Neutral,NO OPINION / NOT APPLICABLE,Agree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Disagree,NO OPINION / NOT APPLICABLE,I use ROS/ROS2 in my automated driving platform (such as Autoware) and application for the ADS safety. The vehicle and the safety application are controlled by distributed components running on the same ethernet network. I have root access to the network infrastructure. The distributed components all run on ROS and communicate via ethernet.,"I used the default ROS2 RMW, it works out of the box.",Better documentation on the RMW performance profiling and debugging. I would love to see more DDS QoS features enabled in ROS2. I also want documentation or tutorials on how to make ROS2 application talk to native DDS application,RTI DDS is very mature and powerful. The coming TSN-DDS is very attractive for developing safety mechanisms on top of ROS2,
2020/10/05 3:03:18 AM MDT,Eloquent,autonomous driving simulator CARLA,Inter process communication / all on a single machine,Autonomy / Vehicle,7,4,2,6,No,eProsima FastDDS (Foxy default),Strongly Agree,Agree,Neutral,Neutral,Neutral,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,Agree,Neutral,Neutral,Agree,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,NO OPINION / NOT APPLICABLE,,,,,
2020/10/05 1:28:11 PM MDT,Foxy,Multiple robots controlled from multiple computers,A wireless network (802.11 a/b/g) that you control.;A wireless network (802.11 a/b/g) that someone else controls;4G LTE / 5G  / Telecom,Academic Research,8,2,3,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Multi-UAV systems and heterogeneous multi-robot systems,Default FastDDS in Foxy works nicely,"Provide examples for non-ROS2 python/cpp scripts using DDS but not ROS, for external applications to directly write/read (serialize/unserialize) basic ROS message types.",I think discussing a default RMW before each distro is a good idea.,
2020/10/05 2:55:08 PM MDT,Foxy,Multiple robots controlled from multiple computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;Embedded communications (serial, I2C, USB, etc)",Agriculture,8,2,3,5,No,eProsima FastDDS (Foxy default),Strongly Agree,Neutral,NO OPINION / NOT APPLICABLE,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,,,,,
2020/10/05 4:31:27 PM MDT,Foxy,One robot with multiple onboard computers,A hardwired Ethernet connection;A wireless network (802.11 a/b/g) that you control.;4G LTE / 5G  / Telecom,,4,1,3,4,Yes,ADLink CycloneDDS,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Strongly Agree,Strongly Agree,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,Agree,NO OPINION / NOT APPLICABLE,root access to network infrastructure with several computers connected to the network over ethernet,several stability issues with FastRTPS in dashing. Setup issue with cyclone. Cyclone has been more stable ,it would be nice if the tier 1 RMW layers had a standardized method of debugging. It is daunting when a cyclone or fastrtps issue can only be understood by learning the tools associated with that that dds.,"cyclone has been more stable for me across the d-f releases, and usually performs better in my system. Eboasson always responds to my issues quickly and in great detail when I do run into a problem ",
2020/10/05 4:38:33 PM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that someone else controls,Academic Research,8,8,5,6,Yes,RTI Connext,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Multiple research robots are wirelessly connected to each other via a corporate WiFi infrastructure. This infrastructure is not in our direct control, but we can register mac addresses of client radios so they can be assigned to a common subnet. This allows for DDS discovery. Robots have one WiFi radio each, but may have multiple networked devices onboard; e.g. IP cameras, IP LIDARs, both realtime and non-realtime computers.

Aside from the WiFi routers, no infrastructure/comput exists on board the robots, with the uptime of the robots being entirely ephemeral from each other, thus distributed discovery is important to us, and helps avoid the single point of failure we've encountered with ROS1 master, ROS1 multi master, or DDS discovery server setups.","RTI Connext was the first and only DDS RMW to support the DDS Security specification, that we required for deployment on shared corporate WiFi networks. Later, FastRTPS/Fast-DDS introduced support, but did not, and still doesn't, interoperate with other DDS vendors with security enabled. We still prefer RTI Connext for security as well as the default enabled shared memory IPC, but it's need for an EOL version of OpenSSL and library incompatibility with OpenSSL shipped in latest linux LTS distros makes it a pain to install/setup. Perhaps such issues have been resolved in RTI Connext v6.0, but the ROS2 rmw still seems to be stuck on the previous v5.3 release.

We've also had scaling issues with RTI Connext, as launching the default Nav2 stack alone can spawn more than 40+ DDS participants, quickly exhausting the default RTI Connext participant discovery limit. Fast-DDS still seems to work under such circumstances without security, but seems to exhibit bring up issues when security is enabled for such scales and larger.

We have not invested in Cyclone as of yet, given: its rmw support for DDS security specification isn't yet well documented, and it still fails to pass all Navigation2 package tests (Fast-DDS being the only rmw as of yet that does).","I think there is a missing level of abstraction, such as a description of a collection of networked devices that are internal vs external of a given robot. For example, with multiple networked sensors and computers on the same robot platform, it would be great for multi robot scenarios if one could use DDS partitions natively from DDS RMWs to designate the scope and origin of topic data.

For intercommunication between robots, having to namespace ROS topics with prefix robot names to avoid unintended cross talk is not ideal. Adding such prefixes to existing ROS topics breaks many assumptions for official ROS2 packages/tools that rely on the assumed root level topics, such as /tf or /parameter_events .

For example there are some local topics of a robot that would be nice to be subscribable/mux-able globally across the swarm, such as /robot_pose , then others that would be best filterable for all subscribers, such as /scan . Using partitions could enable both use cases while remaining transparent for monitoring tools, such as rviz that could be used to subscribe to the single /camera topic from all robots in the same fully connected swarm in a shared DDS domain.

Different QoS settings could then be attributed to different domains, i.e. whether topic data is from a partition onboard the robot over local LAN connection, or off board the robot from a external partition over WLAN. All without having to overhaul customize launch files and security artifacts with topic remappings just to use existing community packages.","In my experience, Connext has the best performance, the best documentation, the best DDS debugging tooling, and the best DDS compliance over all current RMW vendors. However, it's not open source, so I can not recommend it as the default RMW for ROS2 for that single reason. If this were to change, my opinion on this would likely change as well.

In light of that, Fast-DDS has shown significant improvement, adding security and promising shared memory IPC support, while Cyclone DDS still seems to be in development and under documented from its ADLINK to Eclipse handover.

My one reservation with Fast-DDS is that it's default tolerance to excessive participants is a double edge sword, leading ROS package developers to design architectures that are not considerate of scalable constraints or interoperable with larger or heterogeneous DDS networks. But perhaps this can be rectified with better support for composable nodes in ROS2, helping to reduce the number of DDS participants per ROS stack/application to a more tractable ratio.","I would like to reiterate the value of the default distributed DDS discovery currently shipped with ROS2. This is great not only for avoiding single point of failures, but also in user experience. When teaching beginner or students, I no longer have to debug with them to determine where the ROS1 master namespace discovery server is running, either on their laptop, phone, or robot, it just works(TM)!

No more DHCP issues from dynamic IP address changes from spotty WiFi, no more finding/copying new robot IP address prior to shell setup, no more careful launch bring-up/shut-down procedures to avoid orphaned nodes when accidently restarting roscore, no more reminding students to update there config when moving between  the lab, dorm, or house networks to do homework.

Instead of reminding students/lab-mates of the difference/format between ROS_MASTER_URI and ROS_IP, I just assign each robot/team a unique ROS_DOMAIN_ID to avoid cross talk between users in the lab space.

Much of these quality of life improvements equally apply to ROS developers and multidisciplinary robotic users who may not have CS/IT or networking backgrounds. So, please do not change discovery behavior to be local loopback only, as distributed network computing is the default use case for much of ROS. If advance users need to customize/curtail discovery further, then they should feel free to deviate from the defaults."
2020/10/05 5:37:33 PM MDT,Foxy,One robot with multiple onboard computers,"Inter process communication / all on a single machine;A hardwired Ethernet connection;4G LTE / 5G  / Telecom;Embedded communications (serial, I2C, USB, etc)",Autonomy / Vehicle,5,3,3,4,No,eProsima FastDDS (Foxy default),Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,"high resolution perception sensors on autonomous vehicles where data throughput, synchronization and reliability are critical",I have tried out the recently open sourced rmw_ecal from Continental with some success in order to try and take advantage of the shared memory capability.,Very prominent performance benchmarks. right now i think they are just on a github repo with a link. maybe make a page on the index?,No preference,rmw_ecal is being worked on by some of my colleagues within Continental and was just recently open sourced. I would guess they would be interested in getting it listed somehow with the other rmw's for ROS2. Is there someone who could help the team through that process?
2020/10/05 8:14:31 PM MDT,Foxy,Multiple robots controlled from multiple computers,Inter process communication / all on a single machine;A wireless network (802.11 a/b/g) that you control.,Corporate R&D,8,3,5,6,No,eProsima FastDDS (Foxy default),Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,"Devices are connected with each other via WAN, and expecting approximately to support 100 systems. in the system, more than 100 nodes running at the same time.",default RMW works okay.,"use cases or recommendation would be nice to make decision by user. without it, having several RMW implementation would be complicated for end-user.",it would be easier just to let user choose during installation or environmental variable.,
