Timestamp,What version of ROS 2 did you use the most this year.,"Briefly describe your application and how your RMW / DDS implementation fits into the picture. In particular, describe the transport layer and network architecture used (e.g. one robot, multiple robots, one host one robot, communicating over 5G / 4G / local network / wifi / etc).",Did you try more than one DDS / RMW vendor this year?,Is there anything you would like to share with the TSC about how you personally evaluated different DDS / RMW implementations?,"Based on your experience, which DDS / RMW implementation should the ROS 2 TSC select for ROS 2 Humble Hawksbill Default?",On a scale from one to ten how confident are you that Cyclone DDS should be the ROS 2 Humble Hawksbill default?,On a scale from one to ten how likely are you to recommend Cyclone DDS to a friend or colleague?,Is there anything you would like to tell the TSC about Cyclone DDS?,"Before you go, is there anything you would like to tell the ROS 2 TSC about your experience with **Fast DDS**? Did you switch DDS vendors? If so, why?",On a scale from one to ten how confident are you that Fast DDS should be the ROS 2 Humble Hawksbill default?,On a scale from one to ten how likely are you to recommend Fast DDS to a friend or colleague?,Is there anything you would like to tell the TSC about Fast DDS?,"Before you go, is there anything you would like to tell the ROS 2 TSC about your experience with **Cyclone DDS**  Did you switch DDS vendors? If so, why?"
2021/10/06 1:51:20 AM MDT,ROS 2 Galactic Geochelone,"Single robot application, one process on embedded board + other processes communicating over wifi / USB ",Yes,"Monitored performance of dds implementations and made several PR contributions to both of them.
Compared dds implementations in different use cases (multi process shared memory, multiple network interfaces, etc) ",Fast DDS,,,,,9,9,"Fastdds is a production level dds implementation.
Performance are good, but what strikes the most is the quality of its code.
It's maintained through a serious review process, it's easy to look and add features.
The code does not contain hacks or subtleties.
There is a lot of documentation and examples. ","I tested and evaluated Cyclone dds in details.
Despite its performance being better than Fastdds in some metrics, I wouldn't base a product on it.
The code is quite messy and basically maintained and developed by a single person.
It still lacks many features wrt fastdds and it looks like support for new features always results in increasing exponentially the complexity of the code.

Cyclonedds is definitely very promising, but it shouldnt be a default implementation until it goes through a deep cleanup and refactor to be easier to debug and more scalable.

The amount of documentation is also very small and this makes it extremely hard to try and use some of its features. "
2021/10/06 3:27:57 AM MDT,ROS 2 Foxy Fitzroy,"Connecting over corporate wifi which has no multicast, to one robot from multiple hosts. Therefore have to manually configure unicast..",Yes,FastRTPS was easy to configure and worked well for us.,Fast DDS,,,,,6,6,,
2021/10/06 5:35:33 AM MDT,ROS 2 Foxy Fitzroy,Multiple robots over Wi-Fi via microROS,No,Did not evaluate.,Fast DDS,,,,,6,6,Seems OK.,Never used Cyclone DDS. 
2021/10/06 7:54:54 AM MDT,ROS 2 Foxy Fitzroy,Multi-robot fleet (up to 100 AMR) over 5GHz Wifi. ,No,I can help assess the resiliency of other DDS implementation. ,Cyclone DDS,10,10,"We have been using this DDS implementation at scale (100 AMR over unreliable wifi) for over a year with next to no issue. In comparison, we have used FastRTPS in the past with a lot of issues. ",We used FastRTPS in the past and had a host of issues that were challenging to troubleshoot and understand. I have not re-evaluated FastRTPS in the recent year and would be willing to do so at some point.,,,,
2021/10/06 11:39:33 AM MDT,ROS 2 Foxy Fitzroy,Multiple robots over IP radios and 5G,Yes,We have used Fast DDS for years and our UI is fast DDS that talks to ROS 2.  We are looking at using cyclone DDS based on the testing results from other ROS 2 users and that fact that it has IceOryx built in,Cyclone DDS,6,6,,Fast DDS works for us.  Cyclone's programming APIs at the time did not seem as robust as Fast DDS.  Now we are looking at switching to cyclone because of IceOryx integration ,,,,
2021/10/06 3:28:50 PM MDT,ROS 2 Foxy Fitzroy,Simulated robot in RoboMaker,Yes,,Cyclone DDS,10,10,,,,,,
2021/10/07 12:29:21 AM MDT,ROS 2 Rolling Ridley,one host one robot with wifi,No,Only after I encounter problems i look for solutions (like a different rmw),Cyclone DDS,6,6,,,,,,
2021/10/07 1:46:07 AM MDT,ROS 2 Dashing Diademata,Test on stimulated robotic environments,Yes,,Fast DDS,,,,,9,10,,
2021/10/07 1:51:25 AM MDT,ROS 2 Galactic Geochelone,"Architecture using micro-ROS, local network ROS 2 dataspace.",No,,Fast DDS,,,,,10,9,The only compatible middleware with micro-ROS,Not compatible with ROS 2 Foxy services
2021/10/07 2:00:34 AM MDT,ROS 2 Rolling Ridley,Developing an artificial detection obstacle system for trains. Several ROS 2 nodes publishing data coming from the sensors using Ethernet in a local network.,Yes,,Fast DDS,,,,,8,9,,
2021/10/07 2:10:05 AM MDT,ROS 2 Foxy Fitzroy,"Mapping the seabed. Three ROS 2 nodes, one publishing data coming from Lidars and two subscribing (one for saving the data and the other to output data in real time). Both local network and wifi",No,,Fast DDS,,,,,9,9,"One of our requirements is to ensure data persistency and right now only Fast DDS have this feature implemented. Cyclone DDS was not an option for the moment. Their roadmap published last year (https://discourse.ros.org/t/cyclonedds-roadmap-multi-network-async-content-filtering-ql1-et-al/17561) said that it would be available soon and I would have liked to test it and do some benchmarking, but I don't think it has been released yet. ",
2021/10/07 2:18:07 AM MDT,ROS 2 Eloquent Elusor,Perception and detection system for automatic driving. Local network.,Yes,"Due to the huge traffic going throughout the system, several discovery issues were present. Thanks to the Discovery Server configuration available in Fast DDS these issues were overcame. Cyclone DDS does not seem to provide a solution as of now to these issues.",Fast DDS,,,,,10,10,,
2021/10/07 2:23:46 AM MDT,ROS 2 Foxy Fitzroy,One robot commnicating over TCP & FreeRTOS support,Yes,"I did not see much of differentiation using Cyclon (Galactic), apart from having to swp rmw default implementations for my use case",Fast DDS,,,,,9,9,Wide existing installed base out there.,"I would not switch, I would keep both. "
2021/10/07 2:27:39 AM MDT,ROS 2 Galactic Geochelone,"Autonomous robots moving around a warehouse, moving parcels according to the commands of a central storage management software. At any moment there are about 20 robots picking tasks from the system. The robots communicate among them in order to plan their route and avoid each other. All communication is done through wifi.",No,,Fast DDS,,,,,9,10,,"We are using the discovery server solution from fast, and cyclone was never an option"
2021/10/07 2:36:30 AM MDT,ROS 2 Foxy Fitzroy,Robots control by wifi,Yes,Over DDS. Tried both and preferred FastDDS,Fast DDS,,,,,10,9,I found it faster than Cyclone and has more options,It did not work for us. It looks like not complete product
2021/10/07 2:38:19 AM MDT,ROS 2 Galactic Geochelone,Swarm of robots across the internet,Yes,Open-Source with a well-known community behind is the most important aspect in our evaluation,Cyclone DDS,10,10,"This is a real open-source implementation, under the umbrella of the well-known Eclipse Foundation, not some company internal open-source that can disappear from one thay to the other.",We needed to have something baked by well-known communities because of internal policies.,,,,
2021/10/07 2:44:34 AM MDT,ROS 2 Rolling Ridley,Productive API for connecting multiple ROS2 robots over 5G networks,Yes,"Evaluated the willingness of RMW implementation vendors to support latest ROS2 API. IN my evaluation, RMW Fast DDS vendors were more willing than others. They promptly added support for the unique network flows API that I contributed to Galactic.",Fast DDS,,,,,10,10,Fast DDS has good documentation. Fast DDS engineers respond to usage questions and issue reports promptly (in my case less than 24 hours). Fast DDS has in-depth configuration options for ROS2 power users. ,"I am interested in contributing ROS2 APIs that enable productive connectivity to 5G networks. I switched to Fast DDS because they were the only ones who implemented support for 5G network connectivity API called ""unique network flows"" that are part of Galactic. "
2021/10/07 3:05:16 AM MDT,ROS 2 Foxy Fitzroy,One diffdrive robot,No,,Fast DDS,,,,,8,8,it is used on microros,
2021/10/07 4:27:26 AM MDT,ROS 2 Galactic Geochelone,mutiple robots eprisima discovery server with microros over wifi,Yes,try make them microhard wireless network,Fast DDS,,,,,8,10,we need better support for wireless networks  with low bandwidth,"we used RTI, it was a bad experience. didn't switch to cyclones because of it doesn't have discovery server and microros agent"
2021/10/07 6:14:27 AM MDT,ROS 2 Rolling Ridley,multiple robots,No,,Cyclone DDS,10,10,,,,,,
2021/10/07 6:24:01 AM MDT,ROS 2 Galactic Geochelone,"We have an outdoor robot, with LTE communication, and internally uses local network. All nodes are containerized and we also use micro-ROS.",Yes,"One of the questions was, which RMW can provide us on the long run, the support we want. Although with Cyclone, it'd seem you can do a lot of things ""easier"" out of the box, FastDDS was clearly more advanced, besides, their support is amazing.",Fast DDS,,,,,7,9,"If ROS2 is meant for industry, then FastDDS has better out of the box features like security and micro xrcdss.","We tried to switch to cyclone when we run into some issues with our containerization, however, there were other problems with Cyclone as well. Furthermore, we got more quick support from FastDDS, which also pointed us out to their documentation which was quite extense."
2021/10/07 6:58:46 AM MDT,ROS 2 Galactic Geochelone,Two applications : 1. Multiple Robot In WiFi and 2. One system with multiples nodes on the same CPU.,No,,Fast DDS,,,,,10,10,,
2021/10/07 7:05:20 AM MDT,ROS 2 Galactic Geochelone,one robot on local network,No,,Fast DDS,,,,,9,10,The support from eProsima is a good point to be confident and they can help if needed,
2021/10/07 7:08:40 AM MDT,ROS 2 Galactic Geochelone,One robot,No,,Fast DDS,,,,,9,10,,
2021/10/07 9:31:08 AM MDT,ROS 2 Dashing Diademata,robot arm controled by wifi and ethernet,No,,Fast DDS,,,,,8,10,,
2021/10/07 9:48:49 AM MDT,ROS 2 Rolling Ridley,"entertainment robots, camera system, distributed multiple robots",Yes,,Fast DDS,,,,,10,10,,Cyclone DDS does not provide shared memory transport by itself.
2021/10/07 11:27:40 AM MDT,ROS 2 Galactic Geochelone,We are using ROS2 to command a fleet of domotic robots connected to a Wifi hotspot (LAN),Yes,"We initially were using the default middleware packed with ROS2 Galactic, but we encountered many bugs on the way, and tried out fastdds instead. No more dds related problems since then.",Fast DDS,,,,,10,10,,"As already stated, we found that the integration with ROS was not mature enough. Perhaps Cyclone devs manage to create a stable solution soon, till then I will stick to Fastdds"
2021/10/07 2:46:09 PM MDT,ROS 2 Foxy Fitzroy,Multiple mobile robots communicating over WiFi,No,,Cyclone DDS,6,6,,,,,,
2021/10/07 3:55:28 PM MDT,ROS 2 Foxy Fitzroy,"Multiple robots, over mesh WiFi network",No,,Cyclone DDS,7,8,,Experience with the actual products has been about the same. Experience with the personnel at FastDDS has been awful. ,,,,
2021/10/07 4:26:39 PM MDT,ROS 2 Galactic Geochelone,Robotics arms in a local network,Yes,,Cyclone DDS,10,10,,"I experienced less problems during the installation and troubleshooting with Cyclone DDS than Fast DDS. Moreover, Cyclone DDS is more lightweight in our target platforms.",,,,
2021/10/08 12:57:29 AM MDT,I did not use ROS 2,"We are developing 3d stereo camera systems for car wheel alignment. Transport Layer: TCP/UDP on local network. One host and four ""robots"".",No,,Fast DDS,,,,,10,10,"I have issues when Shared Memory is enabled. By only using TCP and UDP as a transport layer Fast DDS is a perfect middleware.

Iam directly using Fast DDS without ROS 2. I know about ROS because i have used it at university a lot, but now i want to have less overhead and an easy to install system. (We use Windows 10).",
2021/10/08 2:02:37 AM MDT,ROS 2 Foxy Fitzroy,one robot communicating over wifi with GUI,Yes,Evaluation receiving fps and jitter with images and pointclouds,Fast DDS,,,,,8,9,Since it has shared memory I am quite satisfied with its performance.,Has more jitter when sending images and pointclouds. I guess mainly because it does not utilize shared memory.
2021/10/08 3:03:44 AM MDT,ROS 2 Galactic Geochelone,Fleet of AMRs with WiFi adapter connecting to a gateway for application level control using ROS2 end-to-end.,Yes,performance evaluations based on multi machine deployments on testbeds,Cyclone DDS,8,9,We get great support from the developers and issue interaction is good,When Fast DDS was the standard DDS version we switched to Cyclone for performance reasons with setups which involved lots of ROS2 nodes.,,,,
2021/10/08 3:08:41 AM MDT,ROS 2 Foxy Fitzroy,"1 mobile robot where all computation is done locally, occasionally using a laptop to monitor the robot over a wifi connection.",Yes,"I've experimented with CycloneDDS also earlier this year. It felt a bit slower than Fast DDS, however I did not do any detailed measurements.",Fast DDS,,,,,7,7,,"As mentioned in the earlier question: it seemed a bit slower, both in the discovery phase and in while the communication is running."
2021/10/08 3:45:25 AM MDT,I did not use ROS 2,...,No,...,Fast DDS,,,,,10,10,...,...
2021/10/08 5:19:30 AM MDT,ROS 2 Foxy Fitzroy,"Warehouse AMRs. Large fleets. Perception workloads: stereo, LiDAR (2D/3D), and ToF cameras.",Yes,No.,Cyclone DDS,8,10,"I like that it is open-source (like ROS) and that the developers are accessible, responsive, and very interested to learn about and accommodate your application. I also think the integration of Iceoryx will be game-changing for how we write ROS code.",No.,,,,
2021/10/08 6:19:59 AM MDT,ROS 2 Foxy Fitzroy,"Multiple devices on global 4G network over VPN, using Foxy with FastDDS
Also linked with a secondary backup link, so two networks, which CycloneDDS wasn't able to do by default, so resorted to FastDDS",Yes,"Having support for multiple interface is key for me. Might be also for some other people, so CycloneDDS needs improvements (or there is a setting somewhere I just haven't found :) )",Fast DDS,,,,,6,8,,
2021/10/08 6:59:16 AM MDT,ROS 2 Galactic Geochelone,Used ROS2 Galactic in evKart with CycloneDDS and ROS2 Foxy in IAC with CycloneDDS,Yes,,Cyclone DDS,10,10,,,,,,
2021/10/08 7:27:30 AM MDT,ROS 2 Foxy Fitzroy,Local traffic,No,,Cyclone DDS,10,10,,,,,,
2021/10/08 9:56:12 AM MDT,ROS 2 Galactic Geochelone,One robot with multiple computers running on a network internal to the robot.,Yes,Looked at security and performance of the different RMWs,Cyclone DDS,7,7,,"Yes, we previously used FastDDS, and switched when the default changed. We also looked at RTI's Connext.",,,,
2021/10/08 1:50:33 PM MDT,ROS 2 Foxy Fitzroy,"Multi-machine with hub base, tiered wifi and long range radio",Yes,"QOS incompatibility being invisible drove the switch to cyclone, but synchronous publishing may drive us back as it is becoming a bigger issue in our applications",Cyclone DDS,8,7,Dealing with multiple networks and network discovery is an absolute pain,QOS incompatible being silent drove us away,,,,
2021/10/09 5:45:18 AM MDT,ROS 2 Foxy Fitzroy,one host and multiple cameras on locan network,Yes,nothing,Fast DDS,,,,,8,8,nothing,nothing
2021/10/09 10:37:32 AM MDT,ROS 2 Foxy Fitzroy,"Mobile manipulator, communicating over wifi. Primarily indoor. I use Cyclone because it has proven to be most reliable (based mainly on tests in 2020, did not really investigate other DDS this year).",No,"While the out-of-box experience took a bit of setup, I found Cyclone to be more reliable (especially for services). Notes here: https://www.robotandchisel.com/2020/08/12/cyclonedds/",Cyclone DDS,9,10,"I really like how it is run as an open source project first and foremost - development is extremely open, support is great as well.","ROS2 Navigation especially had lots of issues with Fast DDS, worked seamlessly with Cyclone",,,,
2021/10/09 10:59:27 AM MDT,ROS 2 Galactic Geochelone,"One robot, most components/nodes are self-developed. Multiple topics with high data-rate image (and in the near future dense pointcloud) data, in latency-critical application (autonomous driving at model-car scale).",No,"Advertising zero-copy capabilities like cyclone is not useful/applicable if the standard-types benefiting most from it (Image) can not profit from it since only fixed size messages are supported. This *would* be the killer-feature, if it was usable. If we have to use custom fixed size image message which is incompatible with rviz and rqt, we loose almost all benefits to using ROS...",Cyclone DDS,1,4,"The zero-copy feature sounds great in theory, but is not applicable to many users.",We only briefly used FastDDS since we started using ROS just before the Galactic release.,,,,
2021/10/09 12:53:26 PM MDT,ROS 2 Foxy Fitzroy,"Distributed Autonomous Driving, Ethernet between machines",Yes,"Configuration options (Ethernet interface selection, streams options, etc.), out of the box reliability,... ",Cyclone DDS,8,8,,"Problems with streams of bigger payloads (Lidar, Camera,...). Also tested Connext, unfortunately commercial",,,,
2021/10/10 11:50:07 AM MDT,ROS 2 Galactic Geochelone,one robot,Yes,,Cyclone DDS,9,9,,,,,,
2021/10/10 10:50:11 PM MDT,ROS 2 Foxy Fitzroy,ROS2 interoperability - within ROS2 (different RMW's) and ROS2-native DDS's.,Yes,"Looking to make ROS2 less of ""Just another silo"" and more of a ""wow, this framework can interoperate with lots of other things""",Fast DDS,,,,,10,10,"Standards == interoperability.   When I test for multi-DDS interoperability, FastDDS is far more likely to work, whereas Cyclone is more problematic.   The result is that -- while Cyclone might win by small margins on small sample sizes (when run against single-process benchmark tests), FastDDS performs better with larger sample sizes and with real-world scenarios (like multi-process systems, ie nearly all uses of ROS2).","Yes, CycloneDDS scores well with that single-process Apex benchmark test, but when run against real world tests (multi-process tests, or tests involving multiple DDS implementations, or tests requiring any QoS beyond lab-grade settings), its performance is quite poor, where FastDDS is a more robust, well-tested and debugged solution.   I was surprised that Cyclone won the default RMW for Galactic, despite receiving fewer votes than FastDDS.   What happened there?"
2021/10/11 12:01:02 AM MDT,ROS 2 Galactic Geochelone,local network and WiFi,Yes,no,Fast DDS,,,,,8,10,improve performance,hard to deploy
2021/10/11 12:54:10 AM MDT,ROS 2 Galactic Geochelone,"multiple robots, over 4G",Yes,,Cyclone DDS,9,9,,,,,,
2021/10/11 12:58:30 AM MDT,I did not use ROS 2,Multiple ECUs in one vehicle,No,,Cyclone DDS,10,10,,,,,,
2021/10/11 5:44:08 AM MDT,ROS 2 Foxy Fitzroy,One robot but with distributed control architecture were different nodes run on different machines communicating via local wired network,No,,Fast DDS,,,,,8,8,,
2021/10/11 7:30:48 AM MDT,ROS 2 Foxy Fitzroy,multiple bots,No,,Cyclone DDS,10,10,Eclipse Foundation Governance and Community is a big plus,,,,,
2021/10/11 8:44:53 AM MDT,ROS 2 Foxy Fitzroy,Autonomous Ground Vehicle,Yes,"Got CPU load issues issues with nav2 stack and FastDDs, solved with CycloneDDS (cf. https://github.com/ros-planning/navigation2/issues/2333)",Cyclone DDS,6,8,,Switched as got CPU load issues with fastDDS (https://github.com/ros-planning/navigation2/issues/2333),,,,
2021/10/11 9:00:59 AM MDT,ROS 2 Galactic Geochelone,"I am a beginner, building on a 1/10 scale car an evironment for V2X communication.
One ""Robot"", communicating via wifi for now, 4G / 5G later on to infrastructure like traffic light. ",No,,Cyclone DDS,10,10,,,,,,
2021/10/11 10:12:29 AM MDT,ROS 2 Dashing Diademata,Automotive - ADAS and Autonomy. Multiple vehicle compute domains (SoCs) and sensors connected over LAN.,No,,Cyclone DDS,10,10,I trust the developers behind it.,,,,,
2021/10/11 10:41:05 AM MDT,ROS 2 Galactic Geochelone,Multiple processing nodes communicating over wifi / Ethernet following a hierarchical architecture.,No,,Fast DDS,,,,,10,10,,
2021/10/11 12:06:14 PM MDT,ROS 2 Galactic Geochelone,Many nodes - Wifi environment - Simulation,Yes,Slow discovery time using CycloneDDS.,Fast DDS,,,,,10,10,Very complete,"Discovery time is bad, I used discovery server."
2021/10/11 12:13:39 PM MDT,ROS 2 Foxy Fitzroy,Learning ROS2 -  WIFI,Yes,Browsing the docs...,Fast DDS,,,,,10,10,"Very good doc, many features.","Bad experience on windows, it hangs sometimes"
2021/10/11 12:36:38 PM MDT,ROS 2 Foxy Fitzroy,I am trying to integrate ROS with Rust and we have found Zenoh.io and was trying to use that as DDS. We use ROS to automatically sent active learning images to the cloud for retraining by using DDS.,Yes,,Cyclone DDS,5,5,,,,,,
2021/10/11 2:26:29 PM MDT,ROS 2 Foxy Fitzroy,Local simulation,No,,Cyclone DDS,7,8,"I only heard good feedback, compared to FastRTPS","I personally never ran into problems with it, but others in my organization did",,,,
2021/10/11 2:55:19 PM MDT,ROS 2 Galactic Geochelone,Single robot,Yes,,Cyclone DDS,10,10,,,,,,
2021/10/11 4:45:40 PM MDT,ROS 2 Foxy Fitzroy,"Mostly running ROS1 melodic, multi robot, often over 4G. When using ROS2 its been mostly over Wifi or 4G in a testing type environment",Yes,"If an RMW gives us trouble, we switch and try a new one. ",Cyclone DDS,9,9,"Neither DDS is perfect, but we have seen less issues with Cyclone DDS",,,,,
2021/10/11 7:05:57 PM MDT,ROS 2 Foxy Fitzroy,One robot over a 2.4GHz mesh radio network,No,,Cyclone DDS,8,8,"Good job, guys",,,,,
2021/10/11 7:09:35 PM MDT,ROS 2 Galactic Geochelone,"Multiple air robots, proprietary wireless",Yes,Ease of use and best at discovery on a low bandwidth network,Cyclone DDS,7,7,Doesn't handle a large number of topics well (> 100) on a single domain.,"FastDDS was harder to setup and had worse performance for our application but does work for a large number of topics, albeit with a slow discovery process.",,,,
2021/10/11 8:41:29 PM MDT,ROS 2 Rolling Ridley,one computer on one robot running one nav stack,Yes,"Simply monitoring the pass/fail rates and test flakyness of Nav2's CI over the matrix of RMW vendors. Feel free to review the historic trend on our nightly job matrix, including FastDDS, CycloneDDS, and ConnextDDS
https://app.circleci.com/pipelines/github/ros-planning/navigation2?branch=main",Cyclone DDS,5,5,"I haven't evaluated the performance difference between Cyclone DDS and FastDDS too closely myself yet, but purely analytically, CycloneDDS seems to encure the fewer failures over Nav2's CI than other RMWs. The Cyclone DDS devs where also quite responsive in helping resolve our downstream issues:
https://github.com/ros-planning/navigation2/issues/2043","Nav2 encountered more flaky tests with Fast DDS, but I don't think we ever got to the bottom of that issue, nor how the stock config could be adjusted for our use case:
https://github.com/ros-planning/navigation2/issues/2158#issuecomment-776283234",,,,
2021/10/11 9:36:16 PM MDT,ROS 2 Foxy Fitzroy,Self-driving vehicle with multiple sensors across several computers. Not so much on FMS yet but using 4G/5G is also part of the plan.,No,,Cyclone DDS,7,9,,,,,,
2021/10/11 10:03:56 PM MDT,ROS 2 Foxy Fitzroy,"multiple-robots, one RCS, communicating using WiFi or 5G",Yes,Several data transport issues were found using Fast DDS. All the issues were solved by switching to Cyclone DDS.,Cyclone DDS,9,9,Overall Cyclone DDS seems to provide better performance in terms of latency and jitter when using large number of topics or nodes.,Refer to previous answers,,,,
2021/10/12 2:33:51 AM MDT,ROS 2 Foxy Fitzroy,one robot communicating over local network,Yes,,Cyclone DDS,9,9,,,,,,
2021/10/12 4:42:18 AM MDT,ROS 2 Foxy Fitzroy,Multiple autonomous robots,No,- ,Fast DDS,,,,,8,7,-,-
2021/10/12 5:16:43 AM MDT,ROS 2 Foxy Fitzroy,"One or multiple robots, over WiFi for development and loopback for production.",No,,Fast DDS,,,,,5,7,,
2021/10/12 5:50:27 AM MDT,ROS 2 Foxy Fitzroy,We are using mainly micro-ROS to send commands and get data from our swarm of tiny drones (Crazyflie 2.1). We use a custom transport of the micro-ROS agent that bridges the comunication over wifi (2.4GHz) with the drones.,No,,Fast DDS,,,,,8,10,Good suport from the eProsima team.,I did not have experience with Cyclone DDS
2021/10/12 10:25:55 AM MDT,ROS 2 Galactic Geochelone,Local only use of ROS2 on mobile robots  (not network communication),Yes,,Cyclone DDS,9,9,Many issues solved by switching from Fast DDS to Cyclone during the foxy->galactic transition,"Many issues with Fast DDS on services, action, components and localhost only config + high CPU usage",,,,
2021/10/12 12:37:25 PM MDT,ROS 2 Foxy Fitzroy,one and multi robots communicating in wifi,Yes,,Cyclone DDS,9,8,,,,,,
